subject,subject_label,gender,quintile,n,stem,observed_rate,posterior_median,lower_95,upper_95
math,Matematicas,Men,Q3,7270,2984,0.410453920220083,0.410554154322427,0.399175516156845,0.421735069099339
math,Matematicas,Women,Q3,15627,4400,0.281563959813144,0.281589565055724,0.274554580440778,0.288759355974689
math,Matematicas,Men,Q4,12534,5585,0.445588000638264,0.445544613202925,0.43689551323948,0.454362060588903
math,Matematicas,Women,Q2,9853,2279,0.231300111641125,0.231407811295543,0.223048465965523,0.239675558458896
math,Matematicas,Men,Q2,3867,1343,0.34729764675459,0.347266516351369,0.332535857544483,0.362385074802364
math,Matematicas,Women,Q1,4929,967,0.196185838912558,0.196189147691122,0.185213034894777,0.207323567000473
math,Matematicas,Women,Q5,24734,11765,0.475661033395326,0.475634630039313,0.469558824682588,0.481979884363491
math,Matematicas,Women,Q4,21478,6968,0.32442499301611,0.324494947147649,0.318204725027631,0.33061405119129
math,Matematicas,Men,Q5,24297,14811,0.609581429806149,0.6095133269439,0.603366224897211,0.61560097896186
math,Matematicas,Men,Q1,1777,515,0.289814293753517,0.28979996055497,0.269242180910199,0.311632008632174
science,Ciencias naturales,Men,Q3,7312,2941,0.402215536105033,0.402024252864901,0.391030730446531,0.412926112963511
science,Ciencias naturales,Women,Q4,20878,6855,0.32833604751413,0.32836334930874,0.321978605057119,0.334739070400419
science,Ciencias naturales,Men,Q4,11938,5573,0.466828614508293,0.466824761287375,0.457881207529587,0.476064181514298
science,Ciencias naturales,Women,Q1,5028,975,0.193914081145585,0.19400309360657,0.183311878031799,0.204970791077196
science,Ciencias naturales,Men,Q2,4073,1488,0.365332678615271,0.365285085849876,0.350627905206655,0.379827357006908
science,Ciencias naturales,Women,Q3,15198,4157,0.273522831951573,0.273633656542125,0.266721101343942,0.280544351709093
science,Ciencias naturales,Women,Q2,9102,2147,0.235882223687102,0.235942398472013,0.227317783902364,0.244427687360122
science,Ciencias naturales,Men,Q5,24119,14530,0.602429619801816,0.602464326699864,0.596216147259118,0.608587202451174
science,Ciencias naturales,Women,Q5,26415,12245,0.463562369865607,0.46360076501513,0.457529659104862,0.469691235631426
science,Ciencias naturales,Men,Q1,2303,706,0.306556665219279,0.306478602774781,0.28799616560342,0.325435824156873
language,Lenguaje,Men,Q3,8349,3935,0.471313929811954,0.471278912076908,0.460648670007438,0.481964788727086
language,Lenguaje,Women,Q3,13641,4126,0.302470493365589,0.302491823481835,0.294758970217937,0.310219636753936
language,Lenguaje,Women,Q2,9587,2584,0.269531657452801,0.26964624648731,0.260763976843245,0.278537222002259
language,Lenguaje,Women,Q1,4210,934,0.221852731591449,0.221878727729092,0.209777404694731,0.234576600882146
language,Lenguaje,Women,Q4,21182,7202,0.340005665187423,0.339947897552887,0.333819065336931,0.346369640742044
language,Lenguaje,Men,Q4,13049,6547,0.501724270059008,0.501864960057075,0.493264079019293,0.510509844593344
language,Lenguaje,Women,Q5,28001,11533,0.411878147209028,0.411850486779522,0.406006603370419,0.41750089222336
language,Lenguaje,Men,Q2,5816,2505,0.430708390646492,0.430639536134854,0.417886732070746,0.443348831549356
language,Lenguaje,Men,Q5,19899,11238,0.564751997587818,0.564743004082619,0.557830716811728,0.571827186619452
language,Lenguaje,Men,Q1,2632,1013,0.384878419452888,0.385265327969627,0.366582287040548,0.403259161418201
