subject,subject_label,gender,quintile,predicted_median,lower_95,upper_95
math,Matematicas,Men,Q1,0.239208960775137,0.216465466345482,0.26302504726447
math,Matematicas,Men,Q2,0.286364628813695,0.267684700831403,0.305460541814677
math,Matematicas,Men,Q3,0.335184253619166,0.318648972882006,0.352192315001563
math,Matematicas,Men,Q4,0.358161911553077,0.341965050358711,0.374756897364056
math,Matematicas,Men,Q5,0.493266083122572,0.474020476658538,0.513522800512369
math,Matematicas,Women,Q1,0.182349256080213,0.168268955394429,0.197241868490833
math,Matematicas,Women,Q2,0.20521290024406,0.194392292899219,0.216339559184389
math,Matematicas,Women,Q3,0.238675217955406,0.22821947542712,0.249168073552302
math,Matematicas,Women,Q4,0.265099823548882,0.253584167129059,0.276978299417234
math,Matematicas,Women,Q5,0.372440826681687,0.357188316893535,0.388140800370425
science,Ciencias naturales,Men,Q1,0.267632754143334,0.244785386393863,0.291284308512884
science,Ciencias naturales,Men,Q2,0.308767624518113,0.289775824876417,0.328638047464804
science,Ciencias naturales,Men,Q3,0.335184253619166,0.318648972882006,0.352192315001563
science,Ciencias naturales,Men,Q4,0.376958270675197,0.359909389059884,0.394908808155848
science,Ciencias naturales,Men,Q5,0.477843002948058,0.456972488165773,0.49822060986615
science,Ciencias naturales,Women,Q1,0.179383482530656,0.165812016427865,0.193470465084302
science,Ciencias naturales,Women,Q2,0.213180204257179,0.201702041467916,0.225250328158725
science,Ciencias naturales,Women,Q3,0.238675217955406,0.22821947542712,0.249168073552302
science,Ciencias naturales,Women,Q4,0.271056053017988,0.259758437562323,0.283065190461982
science,Ciencias naturales,Women,Q5,0.355289230814597,0.340000781929839,0.371200701292092
language,Lenguaje,Men,Q1,0.377438841771893,0.351925830485074,0.402451201821618
language,Lenguaje,Men,Q2,0.360185067203696,0.341967675464064,0.378527287272157
language,Lenguaje,Men,Q3,0.335184253619166,0.318648972882006,0.352192315001563
language,Lenguaje,Men,Q4,0.297959093970498,0.282495025724933,0.313972031399172
language,Lenguaje,Men,Q5,0.278021402519751,0.262673159543048,0.294609751392205
language,Lenguaje,Women,Q1,0.240951749696932,0.224123906553414,0.259159098206427
language,Lenguaje,Women,Q2,0.248384625528922,0.236525443064127,0.261013219948804
language,Lenguaje,Women,Q3,0.238675217955406,0.22821947542712,0.249168073552302
language,Lenguaje,Women,Q4,0.221063565104871,0.211338029564923,0.23098033121244
language,Lenguaje,Women,Q5,0.202394079992786,0.192180368882233,0.212661780911984
